date_20,ccode,date_20,date_19,ratios,peak_2020,peak_2019,country,holiday,ISO,temp_19,temp_20,dates,adj_2020,adj_ratio,day_of_week
2021-01-05,Kansai ,2021-01-05,2019-01-08,104.10212805364193,21534.063500000004,20685.5171,Kansai ,0,,8.3,,2021-01-05,,,Tuesday
2021-01-06,Kansai ,2021-01-06,2019-01-09,96.51483171182085,21094.692000000003,21856.4252,Kansai ,0,,3.8,,2021-01-06,,,Wednesday
2021-01-07,Kansai ,2021-01-07,2019-01-10,100.70874473006208,23246.4367,23082.8383,Kansai ,0,,6.6,,2021-01-07,,,Thursday
2021-01-08,Kansai ,2021-01-08,2019-01-11,118.67788999405147,24728.2134,20836.4114,Kansai ,0,,7.9,-1.2,2021-01-08,19857.829455022264,0.9530350055874912,Friday
2021-01-04,Kyushu,2021-01-04,2019-01-07,93.03826312047687,10207.6,10971.4,Kyushu,0,,6.9,,2021-01-04,,,Monday
2021-01-05,Kyushu,2021-01-05,2019-01-08,101.46818923327896,11942.4,11769.6,Kyushu,0,,6.4,,2021-01-05,,,Tuesday
2021-01-06,Kyushu,2021-01-06,2019-01-09,109.34053926842388,13008.9,11897.6,Kyushu,0,,7.1,,2021-01-06,,,Wednesday
2021-01-07,Kyushu,2021-01-07,2019-01-10,121.0237749457435,14833.4,12256.6,Kyushu,0,,7.8,,2021-01-07,,,Thursday
2021-01-08,Kyushu,2021-01-08,2019-01-11,130.59083755157602,15350.3,11754.5,Kyushu,0,,8.4,-3.1,2021-01-08,12095.723499826094,1.0290291802991274,Friday
2021-01-04,LT,2021-01-04,2019-01-07,91.37205387205387,1736.8,1900.8,Lithuania,0,,-7.8,-0.4,2021-01-04,1848.6271279094433,0.9725521506257592,Monday
2021-01-05,LT,2021-01-05,2019-01-08,92.4457741211668,1730.4,1871.8,Lithuania,0,,-5.9,0.4,2021-01-05,1836.749388945216,0.9812743823833828,Tuesday
